query,expected,dataset_split
What is the cost breakdown for subsystem 42?,"Mechanical Systems - Podium cost breakdown is labor 33899.42, material 32670.7, and equipment 11327.86.","[""base""]"
What is the cost breakdown for subsystem 9?,"Concrete Works - Tower A cost breakdown is labor 5998.07, material 4615.69, and equipment 3843.77.","[""base""]"
What is the cost breakdown for subsystem 55?,"Plumbing - South Wing cost breakdown is labor 5983.02, material 5155.08, and equipment 3307.2.","[""base""]"
What is the cost breakdown for subsystem 63?,"Telecommunications - West Annex cost breakdown is labor 75157.21, material 68953.1, and equipment 33205.73.","[""base""]"
Show labor cost for subsystem 42.,"Mechanical Systems - Podium cost breakdown is labor 33899.42, material 32670.7, and equipment 11327.86.","[""base""]"
Show labor cost for subsystem 4.,"Landscaping - South Wing cost breakdown is labor 44955.24, material 17194.34, and equipment 7133.54.","[""base""]"
Show labor cost for subsystem 56.,"Parking - West Annex cost breakdown is labor 333390.41, material 102383.29, and equipment 42981.7.","[""base""]"
Show labor cost for subsystem 34.,"Plumbing - Sector 1 cost breakdown is labor 519466.77, material 184521.36, and equipment 135892.98.","[""base""]"
Show labor cost for subsystem 23.,"Telecommunications - Podium cost breakdown is labor 190127.97, material 82380.43, and equipment 34772.54.","[""base""]"
Show material cost for subsystem 5.,"Facade - East Annex cost breakdown is labor 46567.44, material 137799.22, and equipment 18088.49.","[""base""]"
Show material cost for subsystem 14.,"Concrete Works - Zone 7 cost breakdown is labor 35485.56, material 134668.02, and equipment 27189.26.","[""base""]"
Show material cost for subsystem 79.,"Site Development - East Annex cost breakdown is labor 50127.53, material 177527.56, and equipment 46608.06.","[""base""]"
Show material cost for subsystem 53.,"Site Development - Central Plant cost breakdown is labor 68743.77, material 231815.25, and equipment 58163.39.","[""base""]"
Show material cost for subsystem 88.,"Landscaping - Extension cost breakdown is labor 192316.23, material 191519.86, and equipment 132622.48.","[""base""]"
Show equipment cost for subsystem 6.,"Elevators - Tower A cost breakdown is labor 48391.3, material 68567.42, and equipment 154845.43.","[""base""]"
Show equipment cost for subsystem 2.,"Structural Steel - Tower B cost breakdown is labor 160822.07, material 201265.22, and equipment 543532.47.","[""base""]"
Show equipment cost for subsystem 39.,"Roofing - Block D cost breakdown is labor 150436.82, material 120005.77, and equipment 106112.5.","[""base""]"
Show equipment cost for subsystem 64.,"Elevators - East Annex cost breakdown is labor 135986.13, material 144020.64, and equipment 87815.3.","[""base""]"
Show equipment cost for subsystem 18.,"Interior Finishing - Phase 2 cost breakdown is labor 34941.47, material 38462.62, and equipment 143019.88.","[""base""]"
Is subsystem 51 over budget?,Landscaping - Building C is over_budget with a variance of -45695.84 between planned cost 0.0 and actual cost 45695.84.,"[""base""]"
Is subsystem 11 over budget?,Roofing - Basement Level is over_budget with a variance of -27580.72999999998 between planned cost 184337.39 and actual cost 211918.12.,"[""base""]"
Is subsystem 7 over budget?,Roads - Sector 1 is under_budget with a variance of 290000.0 between planned cost 500000.0 and actual cost 210000.0.,"[""base""]"
Is subsystem 33 over budget?,Security - Podium is over_budget with a variance of -9494.150000000023 between planned cost 558784.87 and actual cost 568279.02.,"[""base""]"
Is subsystem 13 over budget?,Electrical - Podium is over_budget with a variance of -329.8500000000022 between planned cost 19520.19 and actual cost 19850.04.,"[""base""]"
Compare planned and actual cost for subsystem 29.,Subsystem 29 (Security - Main Building) is over_budget with a variance of -42724.31 between planned cost 135537.38 and actual cost 178261.69.,"[""base""]"
Compare planned and actual cost for subsystem 30.,Subsystem 30 (Site Development - South Wing) is under_budget with a variance of 269425.01000000007 between planned cost 686882.17 and actual cost 417457.16.,"[""base""]"
Compare planned and actual cost for subsystem 1.,Subsystem 1 (Fire Protection - Tower A) is under_budget with a variance of 0.0 between planned cost 150000.0 and actual cost 150000.0.,"[""base""]"
Compare planned and actual cost for subsystem 8.,Subsystem 8 (Water Supply - Phase 2) is under_budget with a variance of 520000.0 between planned cost 700000.0 and actual cost 180000.0.,"[""base""]"
Compare planned and actual cost for subsystem 38.,Subsystem 38 (Structural Steel - South Wing) is over_budget with a variance of -2142.269999999997 between planned cost 50338.26 and actual cost 52480.53.,"[""base""]"
Is subsystem 21 under budget?,Telecommunications - Wing 3 is under_budget with a variance of 20280.860000000004 between planned cost 48431.16 and actual cost 28150.3.,"[""base""]"
Is subsystem 45 under budget?,Water Supply - Sector 2 is under_budget with a variance of 115792.43000000005 between planned cost 681753.17 and actual cost 565960.74.,"[""base""]"
Is subsystem 83 under budget?,Concrete Works - Sector 2 is under_budget with a variance of 61476.53 between planned cost 148345.16 and actual cost 86868.63.,"[""base""]"
Is subsystem 20 under budget?,Fire Protection - Building C is under_budget with a variance of 163255.89999999997 between planned cost 684385.22 and actual cost 521129.32.,"[""base""]"
Is subsystem 70 under budget?,Structural Steel - Zone 7 is under_budget with a variance of 218544.64 between planned cost 643477.65 and actual cost 424933.01.,"[""base""]"
What is the variance for subsystem 10?,Wastewater - Block E is over_budget with a variance of -6395.049999999999 between planned cost 31106.95 and actual cost 37502.0.,"[""base""]"
What is the variance for subsystem 19?,Water Supply - Basement Level is over_budget with a variance of -72173.80000000002 between planned cost 241463.53 and actual cost 313637.33.,"[""base""]"
What is the variance for subsystem 46?,Plumbing - Sector 2 is over_budget with a variance of -9572.11 between planned cost 42164.39 and actual cost 51736.5.,"[""base""]"
What is the variance for subsystem 58?,Concrete Works - Building C is over_budget with a variance of -15038.970000000001 between planned cost 101248.74 and actual cost 116287.71.,"[""base""]"
What is the variance for subsystem 80?,Concrete Works - Basement Level is over_budget with a variance of -19114.76000000001 between planned cost 143739.59 and actual cost 162854.35.,"[""base""]"
What is the remaining budget for subsystem 8?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the remaining budget for subsystem 7?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the remaining budget for subsystem 30?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the remaining budget for subsystem 53?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the remaining budget for subsystem 70?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the overrun risk for subsystem 63?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the overrun risk for subsystem 2?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the overrun risk for subsystem 29?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the overrun risk for subsystem 39?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What percentage of planned cost has subsystem 48 consumed?,"Subsystem 48 (Water Supply - Central Plant) has a planned cost of 919015.22, actual cost of 1068279.63, and remaining budget of -149264.40999999992.","[""base""]"
What percentage of planned cost has subsystem 34 consumed?,"Subsystem 34 (Plumbing - Sector 1) has a planned cost of 893944.94, actual cost of 995304.08, and remaining budget of -101359.14000000001.","[""base""]"
What percentage of planned cost has subsystem 81 consumed?,"Subsystem 81 (Mechanical Systems - South Wing) has a planned cost of 800900.44, actual cost of 964997.95, and remaining budget of -164097.51.","[""base""]"
What percentage of planned cost has subsystem 19 consumed?,"Subsystem 19 (Water Supply - Basement Level) has a planned cost of 241463.53, actual cost of 313637.33, and remaining budget of -72173.80000000002.","[""base""]"
What percentage of planned cost has subsystem 64 consumed?,"Subsystem 64 (Elevators - East Annex) has a planned cost of 314997.17, actual cost of 400547.72, and remaining budget of -85550.54999999999.","[""base""]"
Is subsystem 7 low risk for overrun?,Roads - Sector 1 is under_budget with a variance of 290000.0 between planned cost 500000.0 and actual cost 210000.0.,"[""base""]"
Is subsystem 9 low risk for overrun?,Concrete Works - Tower A is under_budget with a variance of 12453.169999999998 between planned cost 29439.62 and actual cost 16986.45.,"[""base""]"
Is subsystem 70 low risk for overrun?,Structural Steel - Zone 7 is under_budget with a variance of 218544.64 between planned cost 643477.65 and actual cost 424933.01.,"[""base""]"
Is subsystem 83 low risk for overrun?,Concrete Works - Sector 2 is under_budget with a variance of 61476.53 between planned cost 148345.16 and actual cost 86868.63.,"[""base""]"
Give me a financial summary of subsystem 33.,"Subsystem 33 (Security - Podium) has planned cost 558784.87, actual cost 568279.02, and remaining budget -9494.150000000023. It is over_budget by -9494.150000000023 and has used 101.7% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 60.,"Subsystem 60 (Roofing - Tower A) has planned cost 216114.33, actual cost 241677.17, and remaining budget -25562.840000000026. It is over_budget by -25562.840000000026 and has used 111.83% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 81.,"Subsystem 81 (Mechanical Systems - South Wing) has planned cost 800900.44, actual cost 964997.95, and remaining budget -164097.51. It is over_budget by -164097.51 and has used 120.49% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 100.,"Subsystem 100 (Foundation - Main Building) has planned cost 758208.16, actual cost 832447.47, and remaining budget -74239.30999999994. It is over_budget by -74239.30999999994 and has used 109.79% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 44.,"Subsystem 44 (Fire Protection - East Annex) has planned cost 360515.47, actual cost 344155.77, and remaining budget 16359.699999999953. It is under_budget by 16359.699999999953 and has used 95.46% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 93.,"Subsystem 93 (Roads - Phase 1) has planned cost 57403.92, actual cost 42817.21, and remaining budget 14586.71. It is under_budget by 14586.71 and has used 74.59% of planned cost, giving it low overrun risk.","[""base""]"
Give me a financial summary of subsystem 96.,"Subsystem 96 (Electrical - Central Plant) has planned cost 35246.44, actual cost 32044.74, and remaining budget 3201.7000000000007. It is under_budget by 3201.7000000000007 and has used 90.92% of planned cost, giving it high overrun risk.","[""base""]"
What is the overrun risk for subsystem 76?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Is subsystem 30 low risk for overrun?,Site Development - South Wing is under_budget with a variance of 269425.01000000007 between planned cost 686882.17 and actual cost 417457.16.,"[""base""]"
Give me a financial summary of subsystem 11.,"Subsystem 11 (Roofing - Basement Level) has planned cost 184337.39, actual cost 211918.12, and remaining budget -27580.72999999998. It is over_budget by -27580.72999999998 and has used 114.96% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 25.,"Subsystem 25 (Facade - Tower A) has planned cost 527145.32, actual cost 578731.36, and remaining budget -51586.04000000004. It is over_budget by -51586.04000000004 and has used 109.79% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 57.,"Subsystem 57 (Electrical - North Block) has planned cost 399520.51, actual cost 380358.71, and remaining budget 19161.79999999999. It is under_budget by 19161.79999999999 and has used 95.2% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 26.,"Subsystem 26 (Telecommunications - North Block) has planned cost 160920.46, actual cost 167868.3, and remaining budget -6947.8399999999965. It is over_budget by -6947.8399999999965 and has used 104.32% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 36.,"Subsystem 36 (Roads - Block E) has planned cost 11104.02, actual cost 11522.68, and remaining budget -418.65999999999985. It is over_budget by -418.65999999999985 and has used 103.77% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 17.,"Subsystem 17 (Water Supply - Block E) has planned cost 36085.8, actual cost 36232.26, and remaining budget -146.45999999999913. It is over_budget by -146.45999999999913 and has used 100.41% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 68.,"Subsystem 68 (Site Development - Wing 3) has planned cost 249326.29, actual cost 250582.61, and remaining budget -1256.3199999999779. It is over_budget by -1256.3199999999779 and has used 100.5% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 75.,"Subsystem 75 (Telecommunications - Sector 1) has planned cost 138544.2, actual cost 143534.1, and remaining budget -4989.899999999994. It is over_budget by -4989.899999999994 and has used 103.6% of planned cost, giving it high overrun risk.","[""base""]"
Which subsystem has zero planned budget?,"There is no subsystem with a planned budget, as none of the provided subsystems have any budget information associated with them.","[""base""]"
Find severe overruns.,"Severe overruns, defined as actual costs exceeding planned costs by more than 60%, are found in 7 subsystems: Structural Steel - Tower B, Interior Finishing - Phase 2, Site Development - Sector 2, Security - Main Building, Roofing - Block D, Fire Protection - Main Building, and Fire Protection - Sector 1.","[""base""]"
Which subsystem exceeded budget by the highest amount?,"Structural Steel - Tower B exceeded its budget by the highest amount, with an overrun of $380,000.","[""base""]"
Which subsystem has the largest underspend compared to its planned budget?,"Unfortunately, there is not enough information to determine which subsystem has the largest underspend compared to its planned budget, as the provided data only includes the name of one subsystem.","[""base""]"
Which subsystem has the highest planned cost?,The Water Supply - Central Plant subsystem has the highest planned cost.,"[""base""]"
Which subsystem has planned cost exactly equal to actual cost?,Subsystem 1 (Fire Protection - Tower A) is under_budget with a variance of 0.0 between planned cost 150000.0 and actual cost 150000.0.,"[""base""]"
"Which subsystem has the lowest non-zero planned budget, and what is its actual cost?","The Elevators - Wing 3 subsystem has the lowest non-zero planned budget, but its actual cost of $12,469.17 is not provided in the data.","[""base""]"
"Which subsystem is labor-heavy, with labor cost as the dominant cost component?","Subsystem 1 (Fire Protection - Tower A) cost breakdown is labor 45303.24, material 57287.05, and equipment 31635.68.","[""base""]"
"Which subsystem is material-heavy, with material cost as the dominant cost component?","Subsystem 1 (Fire Protection - Tower A) cost breakdown is labor 45303.24, material 57287.05, and equipment 31635.68.","[""base""]"
"Which subsystem is equipment-heavy, with equipment cost as the dominant cost component?","Subsystem 1 (Fire Protection - Tower A) cost breakdown is labor 45303.24, material 57287.05, and equipment 31635.68.","[""base""]"
What is the weather in London?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Who won the football match yesterday?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What's the capital of France?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Can you book a flight to New York for me?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the current stock price of Tesla?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Tell me a joke.,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What's the recipe for chocolate chip cookies?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Who is the president of the United States?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Translate 'good morning' into Spanish.,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What movies are playing in theaters this week?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
How do I reset my email password?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What's the latest news headline today?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Can you write a poem about the ocean?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What time zone is Tokyo in?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
How many calories are in a banana?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the cost breakdown for subsystem 17?,"Water Supply - Block E cost breakdown is labor 10785.89, material 14188.21, and equipment 9377.03.","[""base""]"
