query,expected,splits
What is the cost breakdown for subsystem 17?,"Water Supply - Block E cost breakdown is labor 10785.89, material 14188.21, and equipment 9377.03.","[""base""]"
What is the cost breakdown for subsystem 42?,"Mechanical Systems - Podium cost breakdown is labor 33899.42, material 32670.7, and equipment 11327.86.","[""base""]"
What is the cost breakdown for subsystem 9?,"Concrete Works - Tower A cost breakdown is labor 5998.07, material 4615.69, and equipment 3843.77.","[""base""]"
What is the cost breakdown for subsystem 55?,"Plumbing - South Wing cost breakdown is labor 5983.02, material 5155.08, and equipment 3307.2.","[""base""]"
What is the cost breakdown for subsystem 63?,"Telecommunications - West Annex cost breakdown is labor 75157.21, material 68953.1, and equipment 33205.73.","[""base""]"
Show labor cost for subsystem 42.,"Mechanical Systems - Podium cost breakdown is labor 33899.42, material 32670.7, and equipment 11327.86.","[""base""]"
Show labor cost for subsystem 4.,"Landscaping - South Wing cost breakdown is labor 44955.24, material 17194.34, and equipment 7133.54.","[""base""]"
Show labor cost for subsystem 56.,"Parking - West Annex cost breakdown is labor 333390.41, material 102383.29, and equipment 42981.7.","[""base""]"
Show labor cost for subsystem 34.,"Plumbing - Sector 1 cost breakdown is labor 519466.77, material 184521.36, and equipment 135892.98.","[""base""]"
Show labor cost for subsystem 23.,"Telecommunications - Podium cost breakdown is labor 190127.97, material 82380.43, and equipment 34772.54.","[""base""]"
Show material cost for subsystem 5.,"Facade - East Annex cost breakdown is labor 46567.44, material 137799.22, and equipment 18088.49.","[""base""]"
Show material cost for subsystem 14.,"Concrete Works - Zone 7 cost breakdown is labor 35485.56, material 134668.02, and equipment 27189.26.","[""base""]"
Show material cost for subsystem 79.,"Site Development - East Annex cost breakdown is labor 50127.53, material 177527.56, and equipment 46608.06.","[""base""]"
Show material cost for subsystem 53.,"Site Development - Central Plant cost breakdown is labor 68743.77, material 231815.25, and equipment 58163.39.","[""base""]"
Show material cost for subsystem 88.,"Landscaping - Extension cost breakdown is labor 192316.23, material 191519.86, and equipment 132622.48.","[""base""]"
Show equipment cost for subsystem 6.,"Elevators - Tower A cost breakdown is labor 48391.3, material 68567.42, and equipment 154845.43.","[""base""]"
Show equipment cost for subsystem 2.,"Structural Steel - Tower B cost breakdown is labor 160822.07, material 201265.22, and equipment 543532.47.","[""base""]"
Show equipment cost for subsystem 39.,"Roofing - Block D cost breakdown is labor 150436.82, material 120005.77, and equipment 106112.5.","[""base""]"
Show equipment cost for subsystem 64.,"Elevators - East Annex cost breakdown is labor 135986.13, material 144020.64, and equipment 87815.3.","[""base""]"
Show equipment cost for subsystem 18.,"Interior Finishing - Phase 2 cost breakdown is labor 34941.47, material 38462.62, and equipment 143019.88.","[""base""]"
Is subsystem 51 over budget?,Landscaping - Building C is over_budget with a variance of -45695.84 between planned cost 0.0 and actual cost 45695.84.,"[""base""]"
Is subsystem 11 over budget?,Roofing - Basement Level is over_budget with a variance of -27580.72999999998 between planned cost 184337.39 and actual cost 211918.12.,"[""base""]"
Is subsystem 7 over budget?,Roads - Sector 1 is under_budget with a variance of 290000.0 between planned cost 500000.0 and actual cost 210000.0.,"[""base""]"
Is subsystem 33 over budget?,Security - Podium is over_budget with a variance of -9494.150000000023 between planned cost 558784.87 and actual cost 568279.02.,"[""base""]"
Is subsystem 13 over budget?,Electrical - Podium is over_budget with a variance of -329.8500000000022 between planned cost 19520.19 and actual cost 19850.04.,"[""base""]"
Compare planned and actual cost for subsystem 29.,Subsystem 29 (Security - Main Building) is over_budget with a variance of -42724.31 between planned cost 135537.38 and actual cost 178261.69.,"[""base""]"
Compare planned and actual cost for subsystem 30.,Subsystem 30 (Site Development - South Wing) is under_budget with a variance of 269425.01000000007 between planned cost 686882.17 and actual cost 417457.16.,"[""base""]"
Compare planned and actual cost for subsystem 1.,Subsystem 1 (Fire Protection - Tower A) is under_budget with a variance of 0.0 between planned cost 150000.0 and actual cost 150000.0.,"[""base""]"
Compare planned and actual cost for subsystem 8.,Subsystem 8 (Water Supply - Phase 2) is under_budget with a variance of 520000.0 between planned cost 700000.0 and actual cost 180000.0.,"[""base""]"
Compare planned and actual cost for subsystem 38.,Subsystem 38 (Structural Steel - South Wing) is over_budget with a variance of -2142.269999999997 between planned cost 50338.26 and actual cost 52480.53.,"[""base""]"
Is subsystem 21 under budget?,Telecommunications - Wing 3 is under_budget with a variance of 20280.860000000004 between planned cost 48431.16 and actual cost 28150.3.,"[""base""]"
Is subsystem 45 under budget?,Water Supply - Sector 2 is under_budget with a variance of 115792.43000000005 between planned cost 681753.17 and actual cost 565960.74.,"[""base""]"
Is subsystem 83 under budget?,Concrete Works - Sector 2 is under_budget with a variance of 61476.53 between planned cost 148345.16 and actual cost 86868.63.,"[""base""]"
Is subsystem 20 under budget?,Fire Protection - Building C is under_budget with a variance of 163255.89999999997 between planned cost 684385.22 and actual cost 521129.32.,"[""base""]"
Is subsystem 70 under budget?,Structural Steel - Zone 7 is under_budget with a variance of 218544.64 between planned cost 643477.65 and actual cost 424933.01.,"[""base""]"
What is the variance for subsystem 10?,Variance for Subsystem 10 is -6395.049999999999 between planned cost 31106.95 and actual cost 37502.0.,"[""base""]"
What is the variance for subsystem 19?,Variance for Subsystem 19 is -72173.80000000002 between planned cost 241463.53 and actual cost 313637.33.,"[""base""]"
What is the variance for subsystem 46?,Variance for Subsystem 46 is -9572.11 between planned cost 42164.39 and actual cost 51736.5.,"[""base""]"
What is the variance for subsystem 58?,Variance for Subsystem 58 is -15038.970000000001 between planned cost 101248.74 and actual cost 116287.71.,"[""base""]"
What is the variance for subsystem 80?,Variance for Subsystem 80 is -19114.76000000001 between planned cost 143739.59 and actual cost 162854.35.,"[""base""]"
What is the remaining budget for subsystem 8?,Remaining budget for Subsystem 8 is 520000.0.,"[""base""]"
What is the remaining budget for subsystem 7?,Remaining budget for Subsystem 7 is 290000.0.,"[""base""]"
What is the remaining budget for subsystem 30?,Remaining budget for Subsystem 30 is 269425.01000000007.,"[""base""]"
What is the remaining budget for subsystem 53?,Remaining budget for Subsystem 53 is 211689.14999999997.,"[""base""]"
What is the remaining budget for subsystem 70?,Remaining budget for Subsystem 70 is 218544.64.,"[""base""]"
What is the overrun risk for subsystem 63?,Subsystem 63 is medium overrun risk because it has used 85.21% of its planned budget.,"[""base""]"
What is the overrun risk for subsystem 2?,Subsystem 2 is high overrun risk because it has used 163.33% of its planned budget.,"[""base""]"
What is the overrun risk for subsystem 29?,Subsystem 29 is high overrun risk because it has used 131.52% of its planned budget.,"[""base""]"
What is the overrun risk for subsystem 76?,Subsystem 76 is high overrun risk because it has used 142.4% of its planned budget.,"[""base""]"
What is the overrun risk for subsystem 39?,Subsystem 39 is high overrun risk because it has used 180.72% of its planned budget.,"[""base""]"
What percentage of planned cost has subsystem 48 consumed?,Subsystem 48 has consumed 116.24% of its planned cost.,"[""base""]"
What percentage of planned cost has subsystem 34 consumed?,Subsystem 34 has consumed 111.34% of its planned cost.,"[""base""]"
What percentage of planned cost has subsystem 81 consumed?,Subsystem 81 has consumed 120.49% of its planned cost.,"[""base""]"
What percentage of planned cost has subsystem 19 consumed?,Subsystem 19 has consumed 129.89% of its planned cost.,"[""base""]"
What percentage of planned cost has subsystem 64 consumed?,Subsystem 64 has consumed 127.16% of its planned cost.,"[""base""]"
Is subsystem 7 low risk for overrun?,Yes. Subsystem 7 is low overrun risk because it has used 42.0% of its planned budget.,"[""base""]"
Is subsystem 9 low risk for overrun?,Yes. Subsystem 9 is low overrun risk because it has used 57.7% of its planned budget.,"[""base""]"
Is subsystem 30 low risk for overrun?,Yes. Subsystem 30 is low overrun risk because it has used 60.78% of its planned budget.,"[""base""]"
Is subsystem 70 low risk for overrun?,Yes. Subsystem 70 is low overrun risk because it has used 66.04% of its planned budget.,"[""base""]"
Is subsystem 83 low risk for overrun?,Yes. Subsystem 83 is low overrun risk because it has used 58.56% of its planned budget.,"[""base""]"
Give me a financial summary of subsystem 11.,"Subsystem 11 (Roofing - Basement Level) has planned cost 184337.39, actual cost 211918.12, and remaining budget -27580.72999999998. It is over_budget by -27580.72999999998 and has used 114.96% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 25.,"Subsystem 25 (Facade - Tower A) has planned cost 527145.32, actual cost 578731.36, and remaining budget -51586.04000000004. It is over_budget by -51586.04000000004 and has used 109.79% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 33.,"Subsystem 33 (Security - Podium) has planned cost 558784.87, actual cost 568279.02, and remaining budget -9494.150000000023. It is over_budget by -9494.150000000023 and has used 101.7% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 60.,"Subsystem 60 (Roofing - Tower A) has planned cost 216114.33, actual cost 241677.17, and remaining budget -25562.840000000026. It is over_budget by -25562.840000000026 and has used 111.83% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 81.,"Subsystem 81 (Mechanical Systems - South Wing) has planned cost 800900.44, actual cost 964997.95, and remaining budget -164097.51. It is over_budget by -164097.51 and has used 120.49% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 100.,"Subsystem 100 (Foundation - Main Building) has planned cost 758208.16, actual cost 832447.47, and remaining budget -74239.30999999994. It is over_budget by -74239.30999999994 and has used 109.79% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 44.,"Subsystem 44 (Fire Protection - East Annex) has planned cost 360515.47, actual cost 344155.77, and remaining budget 16359.699999999953. It is under_budget by 16359.699999999953 and has used 95.46% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 57.,"Subsystem 57 (Electrical - North Block) has planned cost 399520.51, actual cost 380358.71, and remaining budget 19161.79999999999. It is under_budget by 19161.79999999999 and has used 95.2% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 93.,"Subsystem 93 (Roads - Phase 1) has planned cost 57403.92, actual cost 42817.21, and remaining budget 14586.71. It is under_budget by 14586.71 and has used 74.59% of planned cost, giving it low overrun risk.","[""base""]"
Give me a financial summary of subsystem 96.,"Subsystem 96 (Electrical - Central Plant) has planned cost 35246.44, actual cost 32044.74, and remaining budget 3201.7000000000007. It is under_budget by 3201.7000000000007 and has used 90.92% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 17.,"Subsystem 17 (Water Supply - Block E) has planned cost 36085.8, actual cost 36232.26, and remaining budget -146.45999999999913. It is over_budget by -146.45999999999913 and has used 100.41% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 26.,"Subsystem 26 (Telecommunications - North Block) has planned cost 160920.46, actual cost 167868.3, and remaining budget -6947.8399999999965. It is over_budget by -6947.8399999999965 and has used 104.32% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 36.,"Subsystem 36 (Roads - Block E) has planned cost 11104.02, actual cost 11522.68, and remaining budget -418.65999999999985. It is over_budget by -418.65999999999985 and has used 103.77% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 68.,"Subsystem 68 (Site Development - Wing 3) has planned cost 249326.29, actual cost 250582.61, and remaining budget -1256.3199999999779. It is over_budget by -1256.3199999999779 and has used 100.5% of planned cost, giving it high overrun risk.","[""base""]"
Give me a financial summary of subsystem 75.,"Subsystem 75 (Telecommunications - Sector 1) has planned cost 138544.2, actual cost 143534.1, and remaining budget -4989.899999999994. It is over_budget by -4989.899999999994 and has used 103.6% of planned cost, giving it high overrun risk.","[""base""]"
Which subsystem has zero planned budget?,Subsystem 24 has a zero planned budget.,"[""base""]"
Find severe overruns.,"There are 15 subsystems with severe overruns: 2, 18, 24, 29, 37, 39, 51, 69, 72, 74, 76, 84, 85, 91, 97.","[""base""]"
Which subsystem exceeded budget by the highest amount?,"Structural Steel - Tower B exceeded its budget by the highest amount, with an overrun of $380,000.","[""base""]"
Which subsystem has the largest underspend compared to its planned budget?,Subsystem 8 has the largest underspend.,"[""base""]"
Which subsystem has the highest planned cost?,Subsystem 48 has the highest planned cost.,"[""base""]"
Which subsystem has planned cost exactly equal to actual cost?,Subsystem 1 has planned cost exactly equal to actual cost: both are 150000.0.,"[""base""]"
"Which subsystem has the lowest non-zero planned budget, and what is its actual cost?","Subsystem 90 has the lowest non-zero planned cost of 10102.61, with an actual cost of 12469.17.","[""base""]"
"Which subsystem is labor-heavy, with labor cost as the dominant cost component?",Subsystem 12 is labor-heavy.,"[""base""]"
"Which subsystem is material-heavy, with material cost as the dominant cost component?",Subsystem 14 is material-heavy.,"[""base""]"
"Which subsystem is equipment-heavy, with equipment cost as the dominant cost component?",Subsystem 18 is equipment-heavy.,"[""base""]"
What is the weather in London?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Who won the football match yesterday?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What's the capital of France?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Can you book a flight to New York for me?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the current stock price of Tesla?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Tell me a joke.,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What's the recipe for chocolate chip cookies?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Who is the president of the United States?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Translate 'good morning' into Spanish.,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What movies are playing in theaters this week?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
How do I reset my email password?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What's the latest news headline today?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
Can you write a poem about the ocean?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What time zone is Tokyo in?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
How many calories are in a banana?,"This query is outside the scope of the Cost Finance AI Agent, which is designed to answer questions about construction subsystem cost breakdowns, budget comparisons, overrun risk, and financial summaries. Please ask a question related to subsystem cost or budget data.","[""base""]"
What is the total planned cost of all subsystems?,Total planned cost of all subsystems is $21735727.62.,"[""base""]"
What is the total actual cost of all subsystems?,Total actual cost of all subsystems is $22105148.63.,"[""base""]"
What is the average planned cost?,Average planned cost of subsystems is $217357.28.,"[""base""]"
What is the average variance?,Average variance is $-3694.21.,"[""base""]"
What is the average equipment cost?,Average equipment cost of subsystems is $52319.61.,"[""base""]"
How many subsystems are over budget?,There are 51 subsystems over budget.,"[""base""]"
How many subsystems are under budget?,There are 49 subsystems under budget.,"[""base""]"
What are the top 5 overruns?,"Top 5 overruns: Subsystem 2 (overrun of $380000.0), Subsystem 84 (overrun of $368129.23), Subsystem 74 (overrun of $244912.41), Subsystem 39 (overrun of $193550.2), Subsystem 76 (overrun of $172057.73).","[""base""]"
What are the bottom 5 variances?,"Bottom 5 variances: Subsystem 2 (variance of $-380000.0), Subsystem 84 (variance of $-368129.23), Subsystem 74 (variance of $-244912.41), Subsystem 39 (variance of $-193550.2), Subsystem 76 (variance of $-172057.73).","[""base""]"
"Which subsystem spent more, subsystem 15 or subsystem 42?",Subsystem 15 spent more.,"[""base""]"
"Which has larger variance, subsystem 10 or subsystem 20?",Subsystem 20 has the larger variance.,"[""base""]"
"Which is more over budget, subsystem 12 or subsystem 19?",Subsystem 19 is more over budget.,"[""base""]"
Compare subsystem 15 and subsystem 42.,"Comparing Subsystem 15 (planned: 246833.04, actual: 267473.29) and Subsystem 42 (planned: 138431.96, actual: 87674.99).","[""base""]"
What is the budget health of subsystem 12?,Subsystem 12 is medium overrun risk because it has used 77.95% of its planned budget.,"[""base""]"
What is the expenditure of subsystem 15?,Actual cost for Subsystem 15 is 267473.29.,"[""base""]"
What is the burn rate of subsystem 8?,Subsystem 8 has consumed 25.71% of its planned cost.,"[""base""]"
What is the unused budget of subsystem 11?,Remaining budget for Subsystem 11 is -27580.72999999998.,"[""base""]"
Has subsystem 10 overspent its allocation?,Yes. Subsystem 10 is over budget by 6395.049999999999.,"[""base""]"
What is the remaining funds for subsystem 25?,Remaining budget for Subsystem 25 is -51586.04000000004.,"[""base""]"
Show subsystem cost.,Please specify which subsystem you are asking about.,"[""base""]"
Compare two subsystems.,Out of scope,"[""base""]"
"Give planned cost, actual cost and labor breakdown for subsystem 18.","Subsystem 18 has planned cost 146271.68, actual cost 259911.79, labor cost 34941.47, material cost 38462.62, equipment cost 143019.88.","[""base""]"
Which subsystem has highest planned cost and is also over budget?,Subsystem 48 has the highest planned cost among over-budget subsystems.,"[""base""]"
Show subsystem 12 summary and compare it with subsystem 19.,"Comparing Subsystem 12 (planned: 32156.86, actual: 25066.0) and Subsystem 19 (planned: 241463.53, actual: 313637.33).","[""base""]"
